time,Bx,By,Bz,BT
5.178775,4.26,36.08,-22.41,42.68
5.188749,4.65,35.93,-22.76,42.78
5.198287,4.76,35.78,-22.99,42.79
5.221442,4.88,36.08,-22.89,43.00
5.224775,5.06,35.87,-22.82,42.81
5.241735,4.91,35.72,-22.76,42.64
5.244948,5.29,35.85,-22.88,42.85
5.248095,5.62,35.62,-23.10,42.83
5.259945,5.91,35.55,-23.10,42.81
5.267961,6.09,35.57,-23.21,42.91
5.278307,6.47,35.48,-23.06,42.80
5.287861,7.11,35.44,-23.08,42.88
5.297755,7.46,35.59,-22.80,42.92
5.315468,8.10,35.70,-22.99,43.23
5.318046,8.21,35.59,-22.88,43.10
5.328194,8.31,35.62,-22.63,43.02
5.337615,8.51,35.76,-22.56,43.12
5.348692,8.89,35.61,-22.22,42.90
5.357977,9.08,35.81,-22.22,43.11
5.368428,9.11,35.49,-22.16,42.83
5.378403,9.00,35.44,-22.24,42.79
5.388138,8.94,35.14,-22.22,42.52
5.398344,9.13,35.25,-22.16,42.63
5.408556,9.24,35.19,-22.33,42.69
5.422279,9.17,35.18,-22.28,42.63
5.435764,9.04,35.31,-22.37,42.76
5.437661,8.93,35.03,-22.33,42.49
5.448071,8.81,35.03,-22.48,42.54
5.457653,8.85,34.99,-22.56,42.56
5.468365,8.59,35.18,-22.37,42.56
5.478480,8.49,35.06,-22.44,42.49
5.488190,8.53,35.06,-22.26,42.40
5.498140,8.29,35.18,-22.05,42.33
5.508141,8.34,35.33,-22.03,42.46
5.521289,8.14,35.49,-21.79,42.43
5.533460,8.14,35.62,-21.69,42.50
5.538078,8.10,35.49,-21.75,42.41
5.548008,8.19,35.53,-21.75,42.46
5.558687,8.25,35.46,-21.86,42.46
5.568518,7.89,35.61,-21.90,42.54
5.578243,8.08,35.70,-22.28,42.85
5.588011,8.10,35.40,-22.31,42.62
5.599123,8.04,35.31,-22.39,42.57
5.608015,7.76,35.38,-22.39,42.58
5.619044,7.59,35.31,-22.09,42.33
5.628917,7.54,35.29,-21.73,42.12
5.638232,7.54,35.21,-21.73,42.06
5.647681,7.84,34.91,-21.58,41.79
5.658255,7.88,34.91,-21.54,41.77
5.668407,8.06,35.01,-21.54,41.89
5.678983,8.19,35.29,-21.79,42.27
5.687936,8.38,35.34,-22.03,42.48
5.698476,8.18,35.31,-22.14,42.47
5.708480,8.14,35.31,-22.37,42.58
5.723060,7.86,35.23,-22.24,42.40
5.728454,7.67,35.46,-22.31,42.59
5.738073,7.56,35.29,-22.22,42.38
5.748068,7.28,35.33,-22.12,42.31
5.757881,7.28,35.19,-21.94,42.10
5.768461,7.14,35.01,-21.86,41.89
5.787679,7.35,35.29,-21.75,42.10
5.790415,7.43,35.27,-21.86,42.15
5.804904,7.39,35.27,-21.90,42.17
5.816938,7.69,35.19,-21.81,42.11
5.819282,7.73,35.06,-22.01,42.11
5.829774,7.69,34.99,-21.98,42.03
5.838732,7.76,34.89,-22.03,41.99
5.848663,7.88,34.84,-21.94,41.92
5.858709,7.97,34.71,-22.03,41.87
5.869317,8.14,34.76,-22.14,42.01
5.878445,8.18,34.91,-22.11,42.12
5.888487,8.03,35.01,-22.22,42.23
5.897919,7.84,35.18,-22.07,42.26
5.908253,7.74,35.31,-22.16,42.40
5.918446,7.88,35.34,-22.11,42.43
5.928349,7.80,35.48,-21.92,42.42
5.937590,7.82,35.61,-22.09,42.62
5.947810,7.63,35.46,-21.88,42.36
5.958124,7.76,35.38,-22.05,42.41
5.968076,7.86,35.10,-22.09,42.21
5.980205,7.91,35.16,-22.01,42.23
5.988182,8.12,35.12,-22.18,42.32
5.998210,7.69,35.08,-22.20,42.22
6.008064,7.74,34.95,-22.59,42.33
6.022283,7.74,34.78,-22.71,42.25
6.037354,7.74,34.88,-22.67,42.31
